account_number,bank_name,date,description,debit,credit,balance
93671569562,METROPOLITAN BANK,01/01/2024,CLG-FASHION TEXTILES LTD,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/01/2024,UPI/DR/496942500719/Biplab Sen/6730921641@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/01/2024,CHQ PAID-Arpita Banerjee-MICR,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/01/2024,NEFT-881690419635-HIGHWAY DEVELOPERS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,02/01/2024,CLG-TECHVISION SYSTEMS,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,02/01/2024,REVERSAL-NEFT-881690419635-HIGHWAY DEVELOPERS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,04/01/2024,CLG-CONSUMER PRODUCTS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,04/01/2024,UPI/DR/486666800739/Debashis Bose/7870456292@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,05/01/2024,ATM WDL-85314,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,06/01/2024,CASH DEPOSIT-Debashis Chatterjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,06/01/2024,IMPS-838639492466-CODEBASE SOLUTIONS,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,08/01/2024,CLG-APEX HEAVY INDUSTRIES,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,08/01/2024,NEFT-650878725285-LOAN DISBURSEMENT-CONSUMER PRODUCTS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,08/01/2024,CASH WITHDRAWAL-Sourav Bose,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,08/01/2024,CHQ PAID-Amit Banerjee-MICR,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,09/01/2024,IMPS-203440089592-Sreya Dutta,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,11/01/2024,RTGS-ICICR105590319966-Debashis Banerjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,11/01/2024,IMPS-310111293434-Arpita Mukherjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,12/01/2024,CASH WITHDRAWAL-Moumita Bose,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,16/01/2024,NEFT-127200081540-Amit Ghosh,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,16/01/2024,IMPS-308719414819-Debashis Sen,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,17/01/2024,UPI/CR/355621077289/Moumita Mukherjee/8937315499@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,18/01/2024,RTGS-ICICR657360752741-Moumita Bose,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,18/01/2024,UPI/DR/310263638042/Moumita Dutta/6894485994@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,19/01/2024,NEFT-464418688163-HOUSING DEVELOPERS CORP,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,19/01/2024,IMPS-475069892924-HOUSING DEVELOPERS CORP,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,20/01/2024,NEFT-201804809021-Arpita Mukherjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,20/01/2024,NEFT Dr-269804199403-GST PAYMENT-GSTIN 24A8686,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,22/01/2024,NEFT-256368434252-Arpita Chatterjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,22/01/2024,NEFT-132378208179-Debashis Chatterjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,22/01/2024,RTGS-ICICR601023058507-COTTON MILLS CORP,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,22/01/2024,CHQ PAID-Sreya Sen-MICR,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,23/01/2024,SERVICE CHARGES-Foreign Currency Markup,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,24/01/2024,IMPS-808503722605-Moumita Dutta,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,24/01/2024,RTGS-ICICR828905483489-Debashis Ghosh,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,25/01/2024,IMPS-534948991247-MEDCARE LABORATORIES,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,25/01/2024,CASH WITHDRAWAL-Debashis Banerjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,25/01/2024,CHQ PAID-Debashis Ghosh-MICR,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,25/01/2024,UPI/CR/872404401177/Moumita Banerjee/8525801944@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,27/01/2024,IMPS-814862894400-INVESTMENT SERVICES INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,27/01/2024,NEFT-106607876577-Sujit Banerjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,27/01/2024,NEFT-168260467478-FINANCE SOLUTIONS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,27/01/2024,NEFT-860475651689-APEX HEAVY INDUSTRIES,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,29/01/2024,RTGS-ICICR178481609913-Sreya Mukherjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,29/01/2024,NEFT-189684361699-Biplab Chatterjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,29/01/2024,IMPS-785792545578-RETAIL SOLUTIONS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,30/01/2024,UPI/CR/551567021449/Moumita Mukherjee/6533253673@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,30/01/2024,ATM WDL-67742,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,30/01/2024,UPI/CR/388903249604/Biplab Das/6931576782@pay,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,31/01/2024,RTGS-ICICR797245374644-MINDWAVE CONSULTING,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,31/01/2024,NEFT-344200194818-INDUSTRIAL COMPONENTS INDIA,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/02/2024,IMPS-906950229842-Sourav Chatterjee,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/02/2024,CHQ PAID-Sourav Mukherjee-MICR,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/02/2024,CASH WITHDRAWAL-Sreya Sen,0.0,0.0,0.0
93671569562,METROPOLITAN BANK,01/02/2024,NEFT-439264017694-Sourav Ghosh,0.0,0.0,0.0
