account_number,bank_name,date,amount,type,narration,payment_mode,category
93671569562,METROPOLITAN BANK,01/01/2024,121202.06,CREDIT,CLG-FASHION TEXTILES LTD,CHQ,SALARY
93671569562,METROPOLITAN BANK,01/01/2024,27851.85,DEBIT,UPI/DR/496942500719/Biplab Sen/6730921641@pay,UPI,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/01/2024,118371.22,DEBIT,CHQ PAID-Arpita Banerjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/01/2024,531899.14,CREDIT,NEFT-881690419635-HIGHWAY DEVELOPERS INDIA,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,02/01/2024,118112.68,CREDIT,CLG-TECHVISION SYSTEMS,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,02/01/2024,531899.14,DEBIT,REVERSAL-NEFT-881690419635-HIGHWAY DEVELOPERS INDIA,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,04/01/2024,301034.75,CREDIT,CLG-CONSUMER PRODUCTS INDIA,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,04/01/2024,31031.56,DEBIT,UPI/DR/486666800739/Debashis Bose/7870456292@pay,UPI,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,05/01/2024,6818.2,DEBIT,ATM WDL-85314,POS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,06/01/2024,203951.39,CREDIT,CASH DEPOSIT-Debashis Chatterjee,POS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,06/01/2024,451120.62,CREDIT,IMPS-838639492466-CODEBASE SOLUTIONS,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,08/01/2024,641659.35,CREDIT,CLG-APEX HEAVY INDUSTRIES,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,08/01/2024,6823629.55,CREDIT,NEFT-650878725285-LOAN DISBURSEMENT-CONSUMER PRODUCTS INDIA,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,08/01/2024,262359.72,DEBIT,CASH WITHDRAWAL-Sourav Bose,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,08/01/2024,1445200.06,DEBIT,CHQ PAID-Amit Banerjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,09/01/2024,977434.98,DEBIT,IMPS-203440089592-Sreya Dutta,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,11/01/2024,3000251.64,DEBIT,RTGS-ICICR105590319966-Debashis Banerjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,11/01/2024,548600.38,DEBIT,IMPS-310111293434-Arpita Mukherjee,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,12/01/2024,181236.6,DEBIT,CASH WITHDRAWAL-Moumita Bose,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,16/01/2024,210813.77,DEBIT,NEFT-127200081540-Amit Ghosh,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,16/01/2024,363494.22,DEBIT,IMPS-308719414819-Debashis Sen,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/01/2024,69168.65,CREDIT,UPI/CR/355621077289/Moumita Mukherjee/8937315499@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,18/01/2024,1617758.96,DEBIT,RTGS-ICICR657360752741-Moumita Bose,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,18/01/2024,9171.63,DEBIT,UPI/DR/310263638042/Moumita Dutta/6894485994@pay,UPI,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,19/01/2024,852128.06,CREDIT,NEFT-464418688163-HOUSING DEVELOPERS CORP,NEFT,SALARY
93671569562,METROPOLITAN BANK,19/01/2024,350899.78,CREDIT,IMPS-475069892924-HOUSING DEVELOPERS CORP,IMPS,SALARY
93671569562,METROPOLITAN BANK,20/01/2024,292878.05,DEBIT,NEFT-201804809021-Arpita Mukherjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,20/01/2024,196036.34,DEBIT,NEFT Dr-269804199403-GST PAYMENT-GSTIN 24A8686,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,22/01/2024,210829.26,DEBIT,NEFT-256368434252-Arpita Chatterjee,NEFT,GENERAL_DEBIT
