log_annual_credit,log_annual_debit,net_savings_ratio,monthly_burn_rate,salary_inflow_ratio,monthly_credit_cv,salary_regularity_score,bonus_lump_sum_ratio,investment_ratio,fixed_obligation_ratio,discretionary_ratio,tax_shield_ratio,upi_velocity_index,micro_spend_density,log_avg_ticket_size,capital_gains_flux,account_number,bank_name,total_transactions,raw_annual_credits,raw_annual_debits
19.6348,19.6758,-0.0418,1.0418,0.4854,0.0835,0.25,0.0,0.0,0.0415,0.0,0.0,0.1282,0.0,14.6057,0.0011,10808517005,UNITY NATIONAL BANK,312,336743382.08000004,350816479.96000004
14.3061,14.5428,-0.2671,1.2671,0.5115,1.1478,0.6667,0.0,0.0,0.0,0.0,0.0,0.141,0.0002,9.3817,0.0,11447241261,Trustmark Bank,312,1633303.2,2069536.8599999996
17.9523,17.9115,0.0399,0.9601,0.3693,0.6367,0.25,0.177,0.0,0.0,0.0,0.0,0.1375,0.0,13.5501,0.0002,11471507452,UNITY NATIONAL BANK,160,62598414.86,60099183.57
16.8752,16.8934,-0.0184,1.0184,0.5682,0.3993,0.25,0.0,0.0,0.021,0.0,0.0002,0.125,0.0,12.4535,0.0,12202795223,HERITAGE BANK LIMITED,168,21320766.810000002,21713051.45
17.1994,17.0298,0.156,0.844,0.533,0.1292,0.25,0.0,0.0,0.0053,0.0,0.0,0.1481,0.0,12.7238,0.0,12305639216,PROSPERITY BANK LIMITED,162,29486102.84,24886818.59
17.2668,17.2849,-0.0183,1.0183,0.6345,1.064,0.8333,0.0,0.0,0.0047,0.0,0.0001,0.1446,0.0,12.1639,0.0016,12878101014,Paramount Banking Corporation,332,31541400.760000005,32118116.88
17.4629,17.5022,-0.04,1.04,0.4621,1.4028,0.8333,0.0,0.0,0.0146,0.0,0.0,0.1242,0.0,12.4014,0.0017,13598629960,Cornerstone Bank of India,322,38375967.48,39912903.33999999
16.2124,16.2654,-0.0544,1.0544,0.5837,0.9593,0.75,0.0,0.0,0.0,0.0,0.0,0.1313,0.0,11.1641,0.0018,14122077088,Synergy Bank Limited,320,10988756.0,11586748.84
17.7439,17.7612,-0.0174,1.0174,0.6191,1.2228,0.5833,0.0,0.0,0.0,0.0,0.0,0.097,0.0,12.6466,0.0,14654775355,Trustmark Bank,330,50822916.36,51709711.58
16.3941,16.3678,0.0259,0.9741,0.3601,0.6623,0.25,0.0,0.0,0.0163,0.0,0.0,0.1111,0.0,11.9866,0.0014,14765922344,PARAMOUNT BANKING CORPORATION,162,13178560.250000002,12836645.129999997
